,timestamp,programme,ML,IR,stat,DB,gender,chocolate,neighbours,stand,money,random,good(1),good(2),y_birth,m_birth,d_birth,h_bed,m_bed
145,4/5/2018 11:27:50,AI,0,0,1,0,female,ignorant,2,0,0,7,Friends,Weather,1995,1,16,3,0
146,4/5/2018 11:27:50,BA,1,0,1,1,female,fat,2,0,5,7,sun,free day,1994,6,13,23,0
147,4/5/2018 11:27:51,BA,1,1,1,1,male,ignorant,6,0,0,9,Sports,Drinks,-1,4,24,0,0
148,4/5/2018 11:27:51,CS,0,0,1,1,male,fat,6,0,1,8,Rest,Goos food,1995,12,14,0,0
149,4/5/2018 11:27:51,QRM,0,0,1,0,male,neither,2,0,5,1,Na,Na,1993,5,24,1,30
150,4/5/2018 11:27:51,CLS,1,0,1,1,female,fat,7,1,2,2,Dance,Productive,1990,12,7,1,15
151,4/5/2018 11:27:51,BA,1,1,1,1,male,ignorant,5,-1,100,7,Sunshine,Good food,1997,1,18,0,30
152,4/5/2018 11:27:51,MS,-1,0,1,0,male,neither,8,0,50,3,A productive day,A day with company,1988,5,2,23,58
153,4/5/2018 11:27:52,CS,0,0,0,0,male,fat,2,0,1,-1,Food,Chocolate,1992,6,11,2,30
154,4/5/2018 11:27:52,AI,0,0,1,0,male,neither,6,0,0,6,Fun,Nice food,1995,7,3,23,45
155,4/5/2018 11:27:53,AI,1,1,1,1,male,ignorant,4,0,90,1,Sleeping in,Staying up late,1992,7,31,2,0
156,4/5/2018 11:27:53,BA,1,0,1,1,male,fat,-1,0,-1,-1,having a good sleep,some free time,1768,1,10,22,0
157,4/5/2018 11:27:53,QRM,-1,0,1,0,male,neither,0,0,50,3,good weather,free time,1994,4,12,0,0
158,4/5/2018 11:27:54,CS,0,0,1,1,female,ignorant,-1,0,100,3,Good food,No stress,1991,12,10,3,0
159,4/5/2018 11:27:54,AI,1,1,1,1,male,fat,7,0,20,7,Coffee,Sunshine,1993,2,7,1,34
160,4/5/2018 11:27:54,QRM,0,0,1,0,male,ignorant,0,0,14,4,Coffee,Sunny day,1993,3,12,0,0
161,4/5/2018 11:27:55,CS,1,0,1,0,male,ignorant,6,0,1,8,Sunshine,Breakfast,1991,9,18,0,0
162,4/5/2018 11:27:56,Bioinformatics,1,0,0,0,male,neither,6,0,0,4,No responsibilities,sleeping in,1994,1,23,1,30
163,4/5/2018 11:27:56,CS,0,0,1,0,male,fat,-1,0,1,10,Playing football,Meeting awesome people,1994,12,10,1,0
164,4/5/2018 11:27:58,CS,1,1,1,1,male,fat,-1,0,5,8,Sex,Asian food,1990,5,11,1,0
165,4/5/2018 11:27:58,Exchange,1,0,-1,1,female,neither,6,0,20,1,Things to do,Not too much to do,1994,1,6,23,30
166,4/5/2018 11:27:58,BA,1,0,1,0,male,neither,6,0,0,8,sleeping,weather,1991,4,7,0,0
167,4/5/2018 11:27:58,PhD student,0,0,1,0,male,neither,2,0,0,7,Nice food,Good sleep,1995,1,3,23,30
